id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
286,2025-01-03,986,99,F2 (Invoice),885,16988,144.82758620689654,kg (Kilogram),CN,China
287,2025-01-03,986,99,F2 (Invoice),885,16988,0.0,kg (Kilogram),CN,China
288,2025-01-03,986,99,F2 (Invoice),885,33772,25.862068965517242,kg (Kilogram),CN,China
289,2025-01-03,986,99,F2 (Invoice),885,33772,0.0,kg (Kilogram),CN,China
290,2025-01-03,986,99,F2 (Invoice),885,29803,5.689655172413793,kg (Kilogram),CN,China
291,2025-01-03,986,99,F2 (Invoice),885,29803,0.0,kg (Kilogram),CN,China
292,2025-01-03,986,99,F2 (Invoice),885,31442,18.103448275862068,kg (Kilogram),CN,China
293,2025-01-03,986,99,F2 (Invoice),885,31442,0.0,kg (Kilogram),CN,China
294,2025-01-03,986,99,F2 (Invoice),202,34888,189.6551724137931,kg (Kilogram),CN,China
295,2025-01-03,986,99,F2 (Invoice),202,34888,0.0,kg (Kilogram),CN,China
296,2025-01-03,986,99,F2 (Invoice),202,30162,20.689655172413794,kg (Kilogram),CN,China
297,2025-01-03,986,99,F2 (Invoice),202,30162,0.0,kg (Kilogram),CN,China
298,2025-01-03,986,99,F2 (Invoice),202,30204,12.413793103448276,kg (Kilogram),CN,China
299,2025-01-03,986,99,F2 (Invoice),202,30204,0.0,kg (Kilogram),CN,China
300,2025-01-03,986,99,F2 (Invoice),202,30204,0.0,kg (Kilogram),CN,China
301,2025-01-03,986,99,F2 (Invoice),202,34744,16.551724137931036,kg (Kilogram),CN,China
302,2025-01-03,986,99,F2 (Invoice),202,34744,0.0,kg (Kilogram),CN,China
303,2025-01-03,986,99,F2 (Invoice),202,34744,0.0,kg (Kilogram),CN,China
304,2025-01-03,986,99,F2 (Invoice),242,30208,4.137931034482759,kg (Kilogram),CN,China
305,2025-01-03,986,99,F2 (Invoice),242,30208,0.0,kg (Kilogram),CN,China
